fecha,fuente,titular,contenido,impacto_cultivos,severidad,paises_afectados,categoria,id_noticia
2021-06-11,Farm Journal,Nueva política agrícola en Italia busca mejorar sostenibilidad,El gobierno de Italia ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,['todos'],baja,"['Italia', 'Brasil']",politica,NEWS6787
2021-06-17,World Grain,México aumenta exportaciones de trigo,El mercado internacional de trigo muestra una tendencia subiendo. Los precios han subiendo un 19% en el último mes. México se posiciona como un actor clave en este mercado.,['trigo'],baja,['Estados Unidos'],mercado,NEWS3388
2021-06-28,Bloomberg Commodities,Nueva política agrícola en Canadá busca mejorar sostenibilidad,El gobierno de Canadá ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,['todos'],alta,"['India', 'Australia', 'Italia']",sanidad,NEWS6757
2021-06-29,AgriCensus,Nueva política agrícola en Italia busca mejorar sostenibilidad,El gobierno de Italia ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,['todos'],media,['Italia'],tecnologia,NEWS9395
2021-07-24,Meat+Poultry,Nueva política agrícola en India busca mejorar sostenibilidad,El gobierno de India ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,['todos'],baja,['Kenia'],tecnologia,NEWS8920
2021-08-18,Farm Journal,Nueva política agrícola en España busca mejorar sostenibilidad,El gobierno de España ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,['todos'],baja,"['India', 'Canadá', 'Nueva Zelanda']",comercio,NEWS9099
2021-09-05,Meat+Poultry,Nueva política agrícola en Alemania busca mejorar sostenibilidad,El gobierno de Alemania ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,['todos'],media,"['Francia', 'India', 'Argentina']",tecnologia,NEWS1596
2021-09-20,Bloomberg Commodities,Sequía afecta proyecciones de cosecha en Kenia,Eventos climáticos extremos están afectando la producción de girasol en Kenia. Los agricultores reportan pérdidas del 26% en algunas áreas. Expertos advierten sobre el impacto en los precios internacionales.,['Girasol'],media,"['Canadá', 'Argentina', 'Francia']",clima,NEWS8593
2021-09-23,Bloomberg Commodities,Sequía afecta proyecciones de cosecha en Kenia,Eventos climáticos extremos están afectando la producción de café en Kenia. Los agricultores reportan pérdidas del 35% en algunas áreas. Expertos advierten sobre el impacto en los precios internacionales.,['Café'],media,"['México', 'España', 'Italia']",clima,NEWS6582
2021-09-27,Farm Journal,Inundaciones devastan cultivos en la región,Eventos climáticos extremos están afectando la producción de girasol en Italia. Los agricultores reportan pérdidas del 39% en algunas áreas. Expertos advierten sobre el impacto en los precios internacionales.,['Girasol'],media,"['Argentina', 'Canadá']",clima,NEWS2746
2021-09-29,AgriCensus,Nueva política agrícola en Estados Unidos busca mejorar sostenibilidad,El gobierno de Estados Unidos ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,['todos'],alta,"['Canadá', 'Alemania']",comercio,NEWS3507
2021-10-08,AgriCensus,Nueva política agrícola en Brasil busca mejorar sostenibilidad,El gobierno de Brasil ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,['todos'],alta,"['Brasil', 'Australia']",tecnologia,NEWS6052
2021-11-01,AgriCensus,Nueva política agrícola en Argentina busca mejorar sostenibilidad,El gobierno de Argentina ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,['todos'],baja,"['Francia', 'Estados Unidos']",tecnologia,NEWS2524
2021-11-29,Bloomberg Commodities,Nueva política agrícola en Kenia busca mejorar sostenibilidad,El gobierno de Kenia ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,['todos'],alta,['Francia'],sanidad,NEWS2857
2021-12-03,AgriCensus,Nueva política agrícola en Francia busca mejorar sostenibilidad,El gobierno de Francia ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,['todos'],baja,['Kenia'],politica,NEWS4478
2021-12-22,Meat+Poultry,Ola de calor reduce rendimientos de Maíz,Eventos climáticos extremos están afectando la producción de maíz en India. Los agricultores reportan pérdidas del 40% en algunas áreas. Expertos advierten sobre el impacto en los precios internacionales.,['Maíz'],alta,['Italia'],clima,NEWS9993
2022-01-21,Farm Journal,Nueva política agrícola en México busca mejorar sostenibilidad,El gobierno de México ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,['todos'],media,"['Nueva Zelanda', 'China', 'Brasil']",comercio,NEWS7613
2022-02-15,Reuters Agricultura,Nueva política agrícola en Rusia busca mejorar sostenibilidad,El gobierno de Rusia ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,['todos'],media,['Nueva Zelanda'],politica,NEWS6460
2022-02-24,Dairy Reporter,Sequía afecta proyecciones de cosecha en Estados Unidos,Eventos climáticos extremos están afectando la producción de soja en Estados Unidos. Los agricultores reportan pérdidas del 11% en algunas áreas. Expertos advierten sobre el impacto en los precios internacionales.,['Soja'],media,['Australia'],clima,NEWS6916
2022-03-09,Farm Journal,Inundaciones devastan cultivos en la región,Eventos climáticos extremos están afectando la producción de trigo en China. Los agricultores reportan pérdidas del 26% en algunas áreas. Expertos advierten sobre el impacto en los precios internacionales.,['Trigo'],baja,['Nueva Zelanda'],clima,NEWS2701
2022-03-30,Meat+Poultry,Inundaciones devastan cultivos en Wheatbelt,Eventos climáticos extremos están afectando la producción de arroz en Australia. Los agricultores reportan pérdidas del 37% en algunas áreas. Expertos advierten sobre el impacto en los precios internacionales.,['Arroz'],baja,"['Argentina', 'Nueva Zelanda']",clima,NEWS9568
2022-04-28,AgriCensus,Nueva política agrícola en Italia busca mejorar sostenibilidad,El gobierno de Italia ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,['todos'],alta,['Australia'],sanidad,NEWS9971
2022-05-06,Reuters Agricultura,Nueva política agrícola en India busca mejorar sostenibilidad,El gobierno de India ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,['todos'],alta,"['Alemania', 'India', 'México']",tecnologia,NEWS5795
2022-05-18,Bloomberg Commodities,Nueva política agrícola en Kenia busca mejorar sostenibilidad,El gobierno de Kenia ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,['todos'],media,"['China', 'Rusia', 'India']",tecnologia,NEWS3042
2022-06-10,World Grain,Nueva política agrícola en Nueva Zelanda busca mejorar sostenibilidad,El gobierno de Nueva Zelanda ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,['todos'],alta,"['Argentina', 'Brasil']",politica,NEWS7644
2022-06-29,Bloomberg Commodities,Nueva política agrícola en China busca mejorar sostenibilidad,El gobierno de China ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,['todos'],alta,['Kenia'],comercio,NEWS4020
2022-07-26,Dairy Reporter,Nueva política agrícola en Brasil busca mejorar sostenibilidad,El gobierno de Brasil ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,['todos'],alta,['Estados Unidos'],sanidad,NEWS1658
2022-08-03,Bloomberg Commodities,Nueva política agrícola en Argentina busca mejorar sostenibilidad,El gobierno de Argentina ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,['todos'],alta,['Nueva Zelanda'],comercio,NEWS7467
2022-08-08,Bloomberg Commodities,Nueva política agrícola en Brasil busca mejorar sostenibilidad,El gobierno de Brasil ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,['todos'],alta,['Nueva Zelanda'],politica,NEWS4443
2022-08-31,Reuters Agricultura,Nueva política agrícola en Argentina busca mejorar sostenibilidad,El gobierno de Argentina ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,['todos'],media,['Francia'],comercio,NEWS4380
2022-09-15,Bloomberg Commodities,España aumenta exportaciones de arroz,El mercado internacional de arroz muestra una tendencia subiendo. Los precios han subiendo un 3% en el último mes. España se posiciona como un actor clave en este mercado.,['arroz'],media,"['Alemania', 'Nueva Zelanda']",mercado,NEWS9501
2022-10-07,AgriCensus,Nueva política agrícola en Nueva Zelanda busca mejorar sostenibilidad,El gobierno de Nueva Zelanda ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,['todos'],baja,"['Estados Unidos', 'India', 'Alemania']",tecnologia,NEWS6786
2022-10-14,Meat+Poultry,Nueva política agrícola en Canadá busca mejorar sostenibilidad,El gobierno de Canadá ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,['todos'],alta,['Australia'],comercio,NEWS9010
2022-10-23,World Grain,Heladas tardías dañan frutales en China,Eventos climáticos extremos están afectando la producción de maíz en China. Los agricultores reportan pérdidas del 15% en algunas áreas. Expertos advierten sobre el impacto en los precios internacionales.,['Maíz'],baja,['España'],clima,NEWS8516
2022-11-09,AgriCensus,Demanda china impulsa mercado de maíz,El mercado internacional de maíz muestra una tendencia bajando. Los precios han bajando un 11% en el último mes. Alemania se posiciona como un actor clave en este mercado.,['maíz'],media,"['Estados Unidos', 'Alemania']",mercado,NEWS1225
2022-11-25,Meat+Poultry,Nueva política agrícola en Brasil busca mejorar sostenibilidad,El gobierno de Brasil ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,['todos'],alta,"['Francia', 'China']",sanidad,NEWS4675
2022-12-10,Bloomberg Commodities,Nueva política agrícola en Canadá busca mejorar sostenibilidad,El gobierno de Canadá ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,['todos'],media,"['Alemania', 'China']",comercio,NEWS3628
2022-12-26,Bloomberg Commodities,Nueva política agrícola en Rusia busca mejorar sostenibilidad,El gobierno de Rusia ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,['todos'],baja,['Italia'],tecnologia,NEWS4840
2023-01-16,World Grain,Nueva política agrícola en India busca mejorar sostenibilidad,El gobierno de India ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,['todos'],alta,"['Nueva Zelanda', 'Estados Unidos', 'Brasil']",tecnologia,NEWS5385
2023-02-09,AgriCensus,Nueva política agrícola en China busca mejorar sostenibilidad,El gobierno de China ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,['todos'],alta,['China'],sanidad,NEWS9462
2023-03-07,AgriCensus,Nueva política agrícola en Alemania busca mejorar sostenibilidad,El gobierno de Alemania ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,['todos'],baja,['Kenia'],comercio,NEWS2755
2023-03-15,AgriCensus,Nueva política agrícola en Italia busca mejorar sostenibilidad,El gobierno de Italia ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,['todos'],baja,"['Rusia', 'México', 'Kenia']",politica,NEWS9682
2023-04-14,Bloomberg Commodities,Nueva política agrícola en Australia busca mejorar sostenibilidad,El gobierno de Australia ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,['todos'],alta,['Estados Unidos'],comercio,NEWS1320
2023-04-25,Meat+Poultry,Nueva política agrícola en Italia busca mejorar sostenibilidad,El gobierno de Italia ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,['todos'],alta,"['Kenia', 'Francia']",comercio,NEWS1023
2023-05-11,Bloomberg Commodities,Demanda china impulsa mercado de arroz,El mercado internacional de arroz muestra una tendencia subiendo. Los precios han subiendo un 26% en el último mes. Brasil se posiciona como un actor clave en este mercado.,['arroz'],media,"['España', 'Italia']",mercado,NEWS5455
2023-05-30,Bloomberg Commodities,Nueva política agrícola en Alemania busca mejorar sostenibilidad,El gobierno de Alemania ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,['todos'],alta,"['Kenia', 'Rusia', 'Francia']",comercio,NEWS2574
2023-06-12,World Grain,Nueva política agrícola en India busca mejorar sostenibilidad,El gobierno de India ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,['todos'],baja,"['Argentina', 'Canadá']",sanidad,NEWS6507
2023-06-24,World Grain,México restringe importaciones de trigo,El mercado internacional de trigo muestra una tendencia bajando. Los precios han bajando un 6% en el último mes. México se posiciona como un actor clave en este mercado.,['trigo'],media,"['Argentina', 'España', 'Brasil']",mercado,NEWS2690
2023-07-13,Bloomberg Commodities,Precios de maíz alcanzan máximo histórico,El mercado internacional de maíz muestra una tendencia subiendo. Los precios han subiendo un 9% en el último mes. Alemania se posiciona como un actor clave en este mercado.,['maíz'],media,"['España', 'Brasil', 'Canadá']",mercado,NEWS9987
2023-07-28,Dairy Reporter,Precios de arroz alcanzan máximo histórico,El mercado internacional de arroz muestra una tendencia bajando. Los precios han bajando un 7% en el último mes. India se posiciona como un actor clave en este mercado.,['arroz'],media,['Argentina'],mercado,NEWS5201
